Barcode,Name,Category,Cost,Price,Image URL
,"Egg Loose","Eggs","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/6603b0275b1669b15f0b260f_Eggs_M.png"
,"Egg Loose","Eggs","",10.25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329955503b55855d83ae_Egg-Loose_1_415.webp"
,"Kazi Farm Kitchen Branded Egg (12Pcs Pack)","Eggs","",190,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377497211595380a8f1b85_KFK-Branded-Egg-12-Pcs-Pack_1_415.webp"
,"Paragon Brown Egg 12Pcs (12Pcs Pack)","Eggs","",205,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377496211595380a8f1b81_Paragon-Brown-Egg-12-Pcs-12-Pcs-Pack_1_415.webp"
,"Purnava Omega 3 enriched Egg (12Pcs Pack)","Eggs","",280,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377495211595380a8f1b79_Purnava-Omega-3-enriched-Egg12-Pcs-Pack_1_415.webp"
,"Purnava Vitamin-E Enriched Egg (12Pcs Pack)","Eggs","",220,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377496211595380a8f1b7d_Purnava-Vitamin-E-Enriched-Egg-12-Pcs-Pack_1_415.webp"
,"Quality Premium Egg (12Pcs Pack Box)","Eggs","",190,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668135a9f077212bd74efb78_Quality-Premium-Egg12-Pcs-Pack_1_415.webp"
