id,title,matched_shwapno_name,score,status,image_link,source
INV-0233,Mojo 500ml,,,not_matched,https://luckystore.com/images/products/INV-0233.jpg,placeholder
INV-0234,Ata - loose,,,not_matched,https://luckystore.com/images/products/INV-0234.jpg,placeholder
INV-0235,Surf Excel 1000g,,,not_matched,https://luckystore.com/images/products/INV-0235.jpg,placeholder
INV-0236,Radhuni Borhani Masala 50gm,,,not_matched,https://luckystore.com/images/products/INV-0236.jpg,placeholder
INV-0237,Tresemme Shampoo Keratin Smooth 340ml,,,not_matched,https://luckystore.com/images/products/INV-0237.jpg,placeholder
INV-0238,Dairy Milk Bubbly 46gm,,,not_matched,https://luckystore.com/images/products/INV-0238.jpg,placeholder
INV-0239,Cake 1L,,,not_matched,https://luckystore.com/images/products/INV-0239.jpg,placeholder
INV-0240,Starship Milkshake Cookies 200ml,,,not_matched,https://luckystore.com/images/products/INV-0240.jpg,placeholder
INV-0241,AER Room Spray,,,not_matched,https://luckystore.com/images/products/INV-0241.jpg,placeholder
INV-0242,Real Potato Chips (American Tomato),,,not_matched,https://luckystore.com/images/products/INV-0242.jpg,placeholder
INV-0243,Doodles Instant Noodles Masala 62g (12 Pack),,,not_matched,https://luckystore.com/images/products/INV-0243.jpg,placeholder
INV-0244,Doodles Instant Noodles Masala 62g (8 Pack),,,not_matched,https://luckystore.com/images/products/INV-0244.jpg,placeholder
INV-0245,Lifebouy Soap Lemon Fresh 150g,,,not_matched,https://luckystore.com/images/products/INV-0245.jpg,placeholder
INV-0246,Dairy Milk Oreo 58gm,,,not_matched,https://luckystore.com/images/products/INV-0246.jpg,placeholder
INV-0247,Freedom Sanitary Napkin Heavy Flow Wings - 16Pads,,,not_matched,https://luckystore.com/images/products/INV-0247.jpg,placeholder
INV-0248,AER Pocket Perfume,,,not_matched,https://luckystore.com/images/products/INV-0248.jpg,placeholder
INV-0249,Bellame Butter Toast 200g,,,not_matched,https://luckystore.com/images/products/INV-0249.jpg,placeholder
INV-0250,Chicken Sticks -1,,,not_matched,https://luckystore.com/images/products/INV-0250.jpg,placeholder
INV-0251,Lux Soap Velvet Touch 90g,,,not_matched,https://luckystore.com/images/products/INV-0251.jpg,placeholder
INV-0252,Lifebouy Liquid Lemon Fresh 170ml,,,not_matched,https://luckystore.com/images/products/INV-0252.jpg,placeholder
INV-0253,Vanilla (cup),,,not_matched,https://luckystore.com/images/products/INV-0253.jpg,placeholder
INV-0254,Godrej Magic Handwash Refill,,,not_matched,https://luckystore.com/images/products/INV-0254.jpg,placeholder
INV-0255,Muffin Lata Vanilla 8g,,,not_matched,https://luckystore.com/images/products/INV-0255.jpg,placeholder
INV-0256,Vim Jumbo Size Steel Scourer - (2 Pkt Bundle),,,not_matched,https://luckystore.com/images/products/INV-0256.jpg,placeholder
INV-0257,Volt Pencil Battery UM-3,,,not_matched,https://luckystore.com/images/products/INV-0257.jpg,placeholder
INV-0258,Lux Soap Soft Touch 90g,,,not_matched,https://luckystore.com/images/products/INV-0258.jpg,placeholder
INV-0259,Radhuni Morich Gura 50gm,,,not_matched,https://luckystore.com/images/products/INV-0259.jpg,placeholder
INV-0260,Muffin Bread Vanilla 324g,,,not_matched,https://luckystore.com/images/products/INV-0260.jpg,placeholder
INV-0261,Chocbar,,,not_matched,https://luckystore.com/images/products/INV-0261.jpg,placeholder
INV-0262,Kazi Toast 250g,,,not_matched,https://luckystore.com/images/products/INV-0262.jpg,placeholder
INV-0263,Muffin Lata Chocolate 8g,,,not_matched,https://luckystore.com/images/products/INV-0263.jpg,placeholder
INV-0264,Axe Musk Deodorant Body Spray - 150ml,,,not_matched,https://luckystore.com/images/products/INV-0264.jpg,placeholder
INV-0265,Patabahar Coil - 1Pac,,,not_matched,https://luckystore.com/images/products/INV-0265.jpg,placeholder
INV-0266,Dano Daily Pusti 500g,,,not_matched,https://luckystore.com/images/products/INV-0266.jpg,placeholder
INV-0267,Seylon Green Tea 1.5gm,,,not_matched,https://luckystore.com/images/products/INV-0267.jpg,placeholder
INV-0268,Muffin Bread Chocolate 324g,,,not_matched,https://luckystore.com/images/products/INV-0268.jpg,placeholder
INV-0269,Slice Pound Cake Vanilla,,,not_matched,https://luckystore.com/images/products/INV-0269.jpg,placeholder
INV-0270,Muffin Lata Fruit 8g,,,not_matched,https://luckystore.com/images/products/INV-0270.jpg,placeholder
INV-0271,Poppers Corn Coconut Crackers 25g,,,not_matched,https://luckystore.com/images/products/INV-0271.jpg,placeholder
INV-0272,Bashundhara Toilet Tissue (Gold),,,not_matched,https://luckystore.com/images/products/INV-0272.jpg,placeholder
INV-0273,Fortune Mustard Oil 250ml,Radhuni Mustard Oil 250ml,0.897,needs_review,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668134fef077212bd74ef289_Radhuni-Mustard-Oil-250ml_1_415.webp,shwapno_match_review
INV-0274,Dark Desire 1kg,,,not_matched,https://luckystore.com/images/products/INV-0274.jpg,placeholder
INV-0275,Doodles Instant Noodles Ramen 62g (4 Pack),,,not_matched,https://luckystore.com/images/products/INV-0275.jpg,placeholder
INV-0276,Pound Cake Vanilla,,,not_matched,https://luckystore.com/images/products/INV-0276.jpg,placeholder
INV-0277,Slice Pound Cake Milk,,,not_matched,https://luckystore.com/images/products/INV-0277.jpg,placeholder
INV-0278,Bashundhara Facial tissue box 100pcs,,,not_matched,https://luckystore.com/images/products/INV-0278.jpg,placeholder
INV-0279,Moida - loose,,,not_matched,https://luckystore.com/images/products/INV-0279.jpg,placeholder
INV-0280,Radhuni Jira Gura 50gm,,,not_matched,https://luckystore.com/images/products/INV-0280.jpg,placeholder
INV-0281,Golden 1kg,,,not_matched,https://luckystore.com/images/products/INV-0281.jpg,placeholder
INV-0282,Radhuni Holud Gura 200gm,Radhuni Turmeric (Holud) Powder 200gm (Jar),0.867,needs_review,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95f8115075f231eccca7_Radhuni-Turmeric-Holud-Powder-200gm-Jar_1_415.webp,shwapno_match_review
INV-0283,Pound Cake Chocolate,,,not_matched,https://luckystore.com/images/products/INV-0283.jpg,placeholder
INV-0284,Mini Dry Cake,,,not_matched,https://luckystore.com/images/products/INV-0284.jpg,placeholder
INV-0285,Bashundhara Hand Towel 250 Box,,,not_matched,https://luckystore.com/images/products/INV-0285.jpg,placeholder
