Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
kellogs-chocos-250g,CER-KELL-CHOC-250G,Kellogs Chocos 250g,Cereals,,N,,,,,,,360.00,,,,Y,,,0.00,Y,370.00,3.000,5.000,
kellogs-chocos-fills-centred-pillow-250g,CER-KELL-CHOC-250G-1,Kellogs Chocos Fills Centred Pillow 250g,Cereals,,N,,,,,,,530.00,,,,Y,,,0.00,Y,560.00,2.000,5.000,
kellogs-corn-flakes-real-honey-300g,CER-KELL-CORN-300G,Kellogs Corn Flakes Real Honey 300g,Cereals,,N,,,,,,,530.00,,,,Y,,,0.00,Y,560.00,2.000,5.000,
kellogs-fruit-loops-285g,CER-KELL-FRUI-285G,Kellogs Fruit Loops 285g,Cereals,,N,,,,,,,530.00,,,,Y,,,0.00,Y,560.00,2.000,5.000,
kellogs-k-park-26g,CER-KELL-KXXX-26G,Kellogs K-Park 26g,Cereals,,N,,,,,,,17.50,,,,Y,,,0.00,Y,20.00,48.000,5.000,
kellogs-muesli-crunchy-fruit-nut-500g,CER-KELL-MUES-500G,Kellogs Muesli Crunchy Fruit & Nut 500g,Cereals,,N,,,,,,,920.00,,,,Y,,,0.00,Y,1000.00,2.000,5.000,
kellogs-oats-400g,CER-KELL-OATS-400G,Kellogs Oats 400g,Cereals,,N,,,,,,,320.00,,,,Y,,,0.00,Y,360.00,6.000,5.000,
kellogs-oats-900g,CER-KELL-OATS-900G,Kellogs Oats 900g,Cereals,,N,,,,,,,675.00,,,,Y,,,0.00,Y,750.00,4.000,5.000,
kings-pure-sunflower-oil-2l,COO-KING-PURE-2L,Kings Pure Sunflower Oil 2L,Cooking Needs,2L,N,,,,,,,710.00,,,,Y,,,0.00,Y,800.00,1.000,5.000,
kitkat-1-finger,CHO-KITK-XXXX,Kitkat 1 Finger,Chocolates & Candies,,N,,,,,,,24.00,,,,Y,,,0.00,Y,30.00,42.000,5.000,
kitkat-3-finger,CHO-KITK-XXXX-1,Kitkat 3 Finger,Chocolates & Candies,,N,,,,,,,52.00,,,,Y,,,0.00,Y,65.00,21.000,5.000,
kitkat-4-finger,CHO-KITK-XXXX-2,Kitkat 4 Finger,Chocolates & Candies,,N,,,,,,,68.00,,,,Y,,,0.00,Y,80.00,28.000,5.000,
knock-chocolate-cream,CHO-KNOC-CHOC,Knock Chocolate Cream,Chocolates & Candies,1 Carton,N,,,,,,,741.00,,,,Y,,,0.00,Y,800.00,1.000,5.000,
knock-milk-cream,CHO-KNOC-MILK,Knock Milk Cream,Chocolates & Candies,1 Carton,N,,,,,,,741.00,,,,Y,,,0.00,Y,800.00,1.000,5.000,
knock-strawberry-cream,CHO-KNOC-STRA,Knock Strawberry Cream,Chocolates & Candies,1 Carton,N,,,,,,,741.00,,,,Y,,,0.00,Y,800.00,1.000,5.000,
knorr-soup-31g,PAC-KNOR-SOUP-31G,Knorr Soup 31g,Packaged Food,Packet Soup 31g,N,,,,,,,143.70,,,,Y,,,0.00,Y,165.00,2.000,5.000,
knorr-soup-chicken-corn-24g,PAC-KNOR-SOUP-24G,Knorr Soup Chicken Corn 24g,Packaged Food,Packet Soup 24g,N,,,,,,,49.55,,,,Y,,,0.00,Y,60.00,12.000,5.000,
knorr-soup-thai-28g,PAC-KNOR-SOUP-28G,Knorr Soup Thai 28g,Packaged Food,Packet Soup 28g,N,,,,,,,49.55,,,,Y,,,0.00,Y,60.00,12.000,5.000,
kopi-candy,CHO-KOPI-CAND,Kopi - Candy,Chocolates & Candies,1 Jar,N,,,,,,,300.00,,,,Y,,,0.00,Y,350.00,1.000,5.000,
lentils-masur-daal,RIC-LENT-MASU,Lentils - Masur Daal,Rice & Grain,50KG Bag,N,,,,,,,79.00,,,,Y,,,0.00,Y,109.00,50.000,5.000,
lexus-family-pack,BIS-LEXU-FAMI,Lexus - Family Pack,Biscuits & Cookies,,N,,,,,,,20.00,,,,Y,,,0.00,Y,25.00,70.000,5.000,
lifebouy-hand-soap-total-90g,PER-LIFE-HAND-90G,Lifebouy Hand Soap Total 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,,,0.00,Y,60.00,9.000,5.000,
lifebouy-health-care-150g,PER-LIFE-HEAL-150G,Lifebouy Health Care 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,,,0.00,Y,85.00,24.000,5.000,
lifebouy-health-care-90g,PER-LIFE-HEAL-90G,Lifebouy Health Care 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,,,0.00,Y,60.00,24.000,5.000,
lifebouy-health-soap-lemon-fresh-150g,PER-LIFE-HEAL-150G-1,Lifebouy Health Soap Lemon Fresh 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,,,0.00,Y,85.00,24.000,5.000,
lifebouy-health-soap-lemon-fresh-90g,PER-LIFE-HEAL-90G-2,Lifebouy Health Soap Lemon Fresh 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,,,0.00,Y,55.00,24.000,5.000,
lifebouy-health-soap-total-150g,PER-LIFE-HEAL-150G-2,Lifebouy Health Soap Total 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,,,0.00,Y,85.00,24.000,5.000,
lifebouy-health-soap-total-90g,PER-LIFE-HEAL-90G-1,Lifebouy Health Soap Total 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,,,0.00,Y,55.00,24.000,5.000,
lifebouy-liquid-care-170ml,PER-LIFE-LIQU-170ML,Lifebouy Liquid Care 170ml,Personal Care,Handwash 170ml,N,,,,,,,78.80,,,,Y,,,0.00,Y,90.00,18.000,5.000,
lifebouy-liquid-handwash-care-200g,PER-LIFE-LIQU-200G,Lifebouy Liquid Handwash Care 200g,Personal Care,Handwash 200ml,N,,,,,,,105.52,,,,Y,,,0.00,Y,120.00,4.000,5.000,
lifebouy-liquid-lemon-fresh-170ml,PER-LIFE-LIQU-170ML-1,Lifebouy Liquid Lemon Fresh 170ml,Personal Care,Handwash 200ml,N,,,,,,,78.80,,,,Y,,,0.00,Y,90.00,18.000,5.000,
lifebouy-liquid-lemon-fresh-170ml-1,PER-LIFE-LIQU-170ML-2,Lifebouy Liquid Lemon Fresh 170ml,Personal Care,Liquid Soap 170ml,N,,,,,,,78.80,,,,Y,,,0.00,Y,90.00,4.000,5.000,
lifebouy-liquid-lemon-fresh-200ml,PER-LIFE-LIQU-200ML-1,Lifebouy Liquid Lemon Fresh 200ml,Personal Care,Handwash 200ml,N,,,,,,,105.52,,,,Y,,,0.00,Y,120.00,4.000,5.000,
lifebouy-liquid-total-200ml,PER-LIFE-LIQU-200ML,Lifebouy Liquid Total 200ml,Personal Care,Handwash 200ml,N,,,,,,,105.52,,,,Y,,,0.00,Y,125.00,4.000,5.000,
lifebouy-soap-lemon-fresh-150g,PER-LIFE-SOAP-150G,Lifebouy Soap Lemon Fresh 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,,,0.00,Y,85.00,9.000,5.000,
lipton-pure-tea-25g,TEA-LIPT-PURE-25G,Lipton Pure Tea 25g,Tea & Coffee,Tea Bag 25g,N,,,,,,,131.20,,,,Y,,,0.00,Y,150.90,6.000,5.000,
lux-soap-soft-touch-150g,PER-LUXX-SOAP-150G-1,Lux Soap Soft Touch 150g,Personal Care,Soap 150g,N,,,,,,,80.20,,,,Y,,,0.00,Y,90.00,36.000,5.000,
lux-soap-soft-touch-25g,PER-LUXX-SOAP-25G,Lux Soap Soft Touch 25g,Personal Care,Soap 25g,N,,,,,,,12.81,,,,Y,,,0.00,Y,15.00,72.000,5.000,
lux-soap-soft-touch-75g,PER-LUXX-SOAP-75G,Lux Soap Soft Touch 75g,Personal Care,Soap 90g,N,,,,,,,44.21,,,,Y,,,0.00,Y,50.00,54.000,5.000,
lux-soap-soft-touch-75g-1,PER-LUXX-SOAP-75G-2,Lux Soap Soft Touch 75g,Personal Care,Soap 75g,N,,,,,,,44.21,,,,Y,,,0.00,Y,50.00,18.000,5.000,
lux-soap-soft-touch-90g,PER-LUXX-SOAP-90G-1,Lux Soap Soft Touch 90g,Personal Care,Soap 90g,N,,,,,,,53.52,,,,Y,,,0.00,Y,60.00,54.000,5.000,
lux-soap-velvet-touch-150g,PER-LUXX-SOAP-150G,Lux Soap Velvet Touch 150g,Personal Care,Soap 150g,N,,,,,,,80.20,,,,Y,,,0.00,Y,90.00,33.000,5.000,
lux-soap-velvet-touch-150g-1,PER-LUXX-SOAP-150G-2,Lux Soap Velvet Touch 150g,Personal Care,Soap 150g,N,,,,,,,80.20,,,,Y,,,0.00,Y,90.00,9.000,5.000,
lux-soap-velvet-touch-75g,PER-LUXX-SOAP-75G-1,Lux Soap Velvet Touch 75g,Personal Care,Soap 75g,N,,,,,,,44.21,,,,Y,,,0.00,Y,50.00,54.000,5.000,
lux-soap-velvet-touch-90g,PER-LUXX-SOAP-90G,Lux Soap Velvet Touch 90g,Personal Care,Soap 90g,N,,,,,,,53.52,,,,Y,,,0.00,Y,60.00,54.000,5.000,
maltova-400g,BEV-MALT-GXXX-400G,Maltova 400g,Beverages,Powdered Drink 400g,N,,,,,,,514.02,,,,Y,,,0.00,Y,600.00,6.000,5.000,
mentos,CHO-MENT-PROD,Mentos,Chocolates & Candies,,N,,,,,,,33.33,,,,Y,,,0.00,Y,40.00,24.000,5.000,
meridian-chicken-chips,SNA-MERI-CHIC,Meridian Chicken Chips,Snacks,,N,,,,,,,17.00,,,,Y,,,0.00,Y,20.00,24.000,5.000,
meridian-shrimp-chips,SNA-MERI-SHRI,Meridian Shrimp Chips,Snacks,,N,,,,,,,17.00,,,,Y,,,0.00,Y,20.00,24.000,5.000,
milk-mary-family-pack,BIS-MILK-MARY,Milk Mary - Family Pack,Biscuits & Cookies,,N,,,,,,,42.00,,,,Y,,,0.00,Y,50.00,8.000,5.000,
milk-plus-classic-pack,BIS-MILK-PLUS,Milk Plus - Classic Pack,Biscuits & Cookies,,N,,,,,,,8.00,,,,Y,,,0.00,Y,10.00,24.000,5.000,
mini-dry-cake,BIS-MINI-DRYX,Mini Dry Cake,Biscuits & Cookies,,N,,,,,,,8.00,,,,Y,,,0.00,Y,10.00,48.000,5.000,
miniket-atob-25kg-shonko,RIC-MINI-ATOB-25KG,Miniket Atob 25KG (Shonko),Rice & Grain,25KG Bag,N,,,,,,,1610.00,,,,Y,,,0.00,Y,1780.00,8.000,5.000,
miniket-atob-50kg-shonko,RIC-MINI-ATOB-50KG,Miniket Atob 50KG (Shonko),Rice & Grain,50KG Bag,N,,,,,,,3200.00,,,,Y,,,0.00,Y,3500.00,2.000,5.000,
miniket-c-50kg-nouka,RIC-MINI-CXXX-50KG,Miniket C 50KG (Nouka),Rice & Grain,50KG Bag,N,,,,,,,2640.00,,,,Y,,,0.00,Y,2800.00,1.000,5.000,
moida-loose,COO-MOID-LOOS,Moida - loose,Cooking Needs,50KG Bag,N,,,,,,,40.00,,,,Y,,,0.00,Y,59.00,50.000,5.000,
mother-horlicks-350g,BEV-MOTH-HORL-350G,Mother Horlicks 350g,Beverages,Powdered Drink 350g,N,,,,,,,579.44,,,,Y,,,0.00,Y,670.00,3.000,5.000,
motor-daal,RIC-MOTO-DAAL,Motor Daal,Rice & Grain,50KG Bag,N,,,,,,,52.00,,,,Y,,,0.00,Y,75.00,50.000,5.000,
muffin-bread-chocolate-324g,BIS-MUFF-BREA-324G-1,Muffin Bread Chocolate 324g,Biscuits & Cookies,,N,,,,,,,150.00,,,,Y,,,0.00,Y,200.00,4.000,5.000,
muffin-bread-vanilla-324g,BIS-MUFF-BREA-324G,Muffin Bread Vanilla 324g,Biscuits & Cookies,,N,,,,,,,150.00,,,,Y,,,0.00,Y,200.00,4.000,5.000,
muffin-lata-chocolate-8g,BIS-MUFF-LATA-8G-1,Muffin Lata Chocolate 8g,Biscuits & Cookies,,N,,,,,,,8.00,,,,Y,,,0.00,Y,10.00,48.000,5.000,
muffin-lata-fruit-8g,BIS-MUFF-LATA-8G-2,Muffin Lata Fruit 8g,Biscuits & Cookies,,N,,,,,,,8.00,,,,Y,,,0.00,Y,10.00,24.000,5.000,
muffin-lata-vanilla-8g,BIS-MUFF-LATA-8G,Muffin Lata Vanilla 8g,Biscuits & Cookies,,N,,,,,,,8.00,,,,Y,,,0.00,Y,10.00,48.000,5.000,
nazirshail-25kg-rahman,RIC-NAZI-KGXX-25KG,Nazirshail 25KG (Rahman),Rice & Grain,25KG Bag,N,,,,,,,2180.00,,,,Y,,,0.00,Y,2400.00,8.000,5.000,
nazirshail-25kg-rahman-1,RIC-NAZI-KGXX-25KG-2,Nazirshail 25KG (Rahman),Rice & Grain,25KG Bag,N,,,,,,,76.00,,,,Y,,,0.00,Y,90.00,50.000,5.000,
nazirshail-25kg-rupchanda,RIC-NAZI-KGXX-25KG-1,Nazirshail 25KG (Rupchanda),Rice & Grain,25KG Bag,N,,,,,,,2040.00,,,,Y,,,0.00,Y,2200.00,2.000,5.000,
nazirshail-50kg-rahman,RIC-NAZI-KGXX-50KG,Nazirshail 50KG (Rahman),Rice & Grain,50KG Bag,N,,,,,,,4340.00,,,,Y,,,0.00,Y,4600.00,2.000,5.000,
nimki-big,SNA-NIMK-BIGX,Nimki Big,Snacks,,N,,,,,,,45.00,,,,Y,,,0.00,Y,60.00,6.000,5.000,
nimki-small,SNA-NIMK-SMAL,Nimki Small,Snacks,,N,,,,,,,6.66,,,,Y,,,0.00,Y,10.00,24.000,5.000,
nutrilife-can,BEV-NUTR-CANX,Nutrilife Can,Beverages,,N,,,,,,,50.00,,,,Y,,,0.00,Y,60.00,4.000,5.000,
nutrilife-cranberry-1l,BEV-NUTR-CRAN-1L,Nutrilife Cranberry 1L,Beverages,,N,,,,,,,330.00,,,,Y,,,0.00,Y,360.00,1.000,5.000,
nutrilife-mango-juice-160ml,BEV-NUTR-MANG-160ML,Nutrilife Mango Juice 160ML,Beverages,,N,,,,,,,36.00,,,,Y,,,0.00,Y,45.00,6.000,5.000,
nutrilife-mango-juice-1l,BEV-NUTR-MANG-1L,Nutrilife Mango Juice 1L,Beverages,,N,,,,,,,227.00,,,,Y,,,0.00,Y,295.00,1.000,5.000,
nutrilife-orange-juice-160ml,BEV-NUTR-ORAN-160ML,Nutrilife Orange Juice 160ML,Beverages,,N,,,,,,,36.00,,,,Y,,,0.00,Y,45.00,6.000,5.000,
nutrilife-orange-juice-1l,BEV-NUTR-ORAN-1L,Nutrilife Orange Juice 1L,Beverages,,N,,,,,,,227.00,,,,Y,,,0.00,Y,295.00,2.000,5.000,
nutrilife-pomegranate-1l,BEV-NUTR-POME-1L,Nutrilife Pomegranate 1L,Beverages,,N,,,,,,,292.00,,,,Y,,,0.00,Y,350.00,1.000,5.000,
nutty-family-pack,BIS-NUTT-FAMI,Nutty - Family Pack,Biscuits & Cookies,,N,,,,,,,42.00,,,,Y,,,0.00,Y,50.00,8.000,5.000,
nutty-standard-pack,BIS-NUTT-STAN,Nutty - Standard Pack,Biscuits & Cookies,,N,,,,,,,13.00,,,,Y,,,0.00,Y,15.00,24.000,5.000,
oats-bar,CHO-OATS-BARX,Oats Bar,Chocolates & Candies,,N,,,,,,,103.00,,,,Y,,,0.00,Y,120.00,3.000,5.000,
onions-piyaj,FRE-ONIO-PIYA,Onions - piyaj,Fresh Produce,50KG Bag,N,,,,,,,31.00,,,,Y,,,0.00,Y,38.00,103.000,5.000,
orange-biscuit-family-pack,BIS-ORAN-BISC-1,Orange Biscuit - Family Pack,Biscuits & Cookies,,N,,,,,,,33.00,,,,Y,,,0.00,Y,40.00,6.000,5.000,
orange-biscuit-standard-pack,BIS-ORAN-BISC,Orange Biscuit - Standard Pack,Biscuits & Cookies,"(price written 4*24 but charged 8*24, please check with supplier)",N,,,,,,,4.00,,,,Y,,,0.00,Y,5.00,24.000,5.000,
paijam-atob-25kg-boiled,RIC-PAIJ-ATOB-25KG,Paijam Atob 25KG (Boiled),Rice & Grain,25KG Bag,N,,,,,,,58.00,,,,Y,,,0.00,Y,75.00,50.000,5.000,
pepsodent-advanced-salt-140g,PER-PEPS-ADVA-140G,Pepsodent Advanced Salt 140g,Personal Care,Toothpaste 140g,N,,,,,,,140.47,,,,Y,,,0.00,Y,160.00,6.000,5.000,
pepsodent-advanced-salt-70g,PER-PEPS-ADVA-70G,Pepsodent Advanced Salt 70g,Personal Care,Toothpaste 70g,N,,,,,,,78.67,,,,Y,,,0.00,Y,90.00,6.000,5.000,
pepsodent-germicheck-190g,PER-PEPS-GERM-190G,Pepsodent Germicheck 190g,Personal Care,Toothpaste 190g,N,,,,,,,149.24,,,,Y,,,0.00,Y,170.00,13.000,5.000,
pepsodent-germicheck-40g,PER-PEPS-GERM-40G,Pepsodent Germicheck 40g,Personal Care,Toothpaste 40g,N,,,,,,,43.75,,,,Y,,,0.00,Y,50.00,12.000,5.000,
pepsodent-germicheck-85g,PER-PEPS-GERM-85G,Pepsodent Germicheck 85g,Personal Care,Toothpaste 80g,N,,,,,,,83.03,,,,Y,,,0.00,Y,95.00,12.000,5.000,
pepsodent-sensitive-expert-140,PER-PEPS-SENS,Pepsodent Sensitive Expert 140,Personal Care,Toothpaste 140g,N,,,,,,,183.33,,,,Y,,,0.00,Y,220.00,2.000,5.000,
pepsodent-sensitive-expert-fresh-15g,PER-PEPS-SENS-15G,Pepsodent Sensitive Expert Fresh 15g,Personal Care,Toothpaste 15g,N,,,,,,,10.65,,,,Y,,,0.00,Y,15.00,13.000,5.000,
pepsodent-sensitive-gum-care-140g,PER-PEPS-SENS-140G,Pepsodent Sensitive Gum Care 140g,Personal Care,Toothpaste 140g,N,,,,,,,208.33,,,,Y,,,0.00,Y,240.00,2.000,5.000,
pepsodent-toothpaste-advanced-salt-70g,10000,Pepsodent Toothpaste Advanced Salt 70g,Personal Care,<p>Advanced Salt 70g</p>,N,,,,,,,78.67,,,,Y,,,,Y,90.00,6.000,2.000,
pond-daily-100g,PER-POND-DAIL-100G,Pond Daily 100g,Personal Care,Facewash 100g,N,,,,,,,135.00,,,,Y,,,0.00,Y,155.00,2.000,5.000,
pond-oil-control-50g,PER-POND-OILX-50G,Pond Oil Control 50g,Personal Care,Facewash 50g,N,,,,,,,75.02,,,,Y,,,0.00,Y,85.00,1.000,5.000,
ponds-bright-beauty-50g,PER-POND-BRIG-50G,Ponds Bright Beauty 50g,Personal Care,Cream 50g,N,,,,,,,355.00,,,,Y,,,0.00,Y,410.00,3.000,5.000,
ponds-daily-50g,PER-POND-DAIL-50G,Ponds Daily 50g,Personal Care,Facewash,N,,,,,,,72.00,,,,Y,,,0.00,Y,85.00,1.000,5.000,
ponds-light-50ml,PER-POND-LIGH-50ML,Ponds Light 50ml,Personal Care,Moisturizer 50ml,N,,,,,,,160.00,,,,Y,,,0.00,Y,185.00,3.000,5.000,
ponds-oil-control-100g,PER-POND-OILX-100G,Ponds Oil Control 100g,Personal Care,Facewash 100g,N,,,,,,,157.00,,,,Y,,,0.00,Y,180.00,2.000,5.000,
ponds-pure-white-100g,PER-POND-PURE-100G,Ponds Pure White 100g,Personal Care,Facewash 100g,N,,,,,,,156.34,,,,Y,,,0.00,Y,180.00,2.000,5.000,
ponds-pure-white-50g,PER-POND-PURE-50G,Ponds Pure White 50g,Personal Care,Facewash 50g,N,,,,,,,94.00,,,,Y,,,0.00,Y,110.00,1.000,5.000,
ponds-skin-cream-white-beauty-35g,PER-POND-SKIN-35G,Ponds Skin Cream White Beauty 35g,Personal Care,Cream 35g,N,,,,,,,215.00,,,,Y,,,0.00,Y,250.00,3.000,5.000,
ponds-superlight-gel-100ml,PER-POND-SUPE-100ML,Ponds Superlight Gel 100ml,Personal Care,,N,,,,,,,271.99,,,,Y,,,0.00,Y,310.00,3.000,5.000,
ponds-superlight-gel-50ml,PER-POND-SUPE-50ML,Ponds Superlight Gel 50ml,Personal Care,,N,,,,,,,160.00,,,,Y,,,0.00,Y,185.00,3.000,5.000,
ponds-white-beauty-100g,PER-POND-WHIT-100G,Ponds White Beauty 100g,Personal Care,Facewash 100g,N,,,,,,,157.00,,,,Y,,,0.00,Y,180.00,2.000,5.000,
ponds-white-beauty-50g,PER-POND-WHIT-50G,Ponds White Beauty 50g,Personal Care,Facewash 50g,N,,,,,,,90.75,,,,Y,,,0.00,Y,100.00,1.000,5.000,
poppers-corn-coconut-crackers-25g,SNA-POPP-CORN-25G,Poppers Corn Coconut Crackers 25g,Snacks,,N,,,,,,,16.13,,,,Y,,,0.00,Y,20.00,24.000,5.000,
potatoes-alu,FRE-POTA-ALUX,Potatoes - alu,Fresh Produce,60KG Bag,N,,,,,,,13.50,,,,Y,,,0.00,Y,18.00,120.000,5.000,
pound-cake-chocolate,BIS-POUN-CAKE-1,Pound Cake Chocolate,Biscuits & Cookies,,N,,,,,,,100.00,,,,Y,,,0.00,Y,115.00,5.000,5.000,
pound-cake-fruit,BIS-POUN-CAKE-2,Pound Cake Fruit,Biscuits & Cookies,,N,,,,,,,108.00,,,,Y,,,0.00,Y,125.00,5.000,5.000,
pound-cake-vanilla,BIS-POUN-CAKE,Pound Cake Vanilla,Biscuits & Cookies,,N,,,,,,,100.00,,,,Y,,,0.00,Y,115.00,5.000,5.000,
pulse-mango-masala,CHO-PULS-MANG,Pulse - Mango Masala,Chocolates & Candies,1 Jar,N,,,,,,,300.00,,,,Y,,,0.00,Y,350.00,1.000,5.000,
pulse-mango-masala-1,CHO-PULS-MANG-1,Pulse - Mango Masala,Chocolates & Candies,,N,,,,,,,6.00,,,,Y,,,0.00,Y,10.00,75.000,5.000,
real-potato-chips-american-tomato,SNA-REAL-POTA,Real Potato Chips (American Tomato),Snacks,,N,,,,,,,14.16,,,,Y,,,0.00,Y,20.00,24.000,5.000,
rin-fabric-solution-liquid-400ml,CLE-RINX-FABR-400ML,Rin Fabric Solution Liquid 400ml,Cleaning Supply,Laundry Liquid 400ml,N,,,,,,,100.00,,,,Y,,,0.00,Y,115.00,12.000,5.000,
rin-fabric-solution-power-bright-500g,CLE-RINX-FABR-500G,Rin Fabric Solution Power Bright 500g,Cleaning Supply,Laundry Soap 500g,N,,,,,,,80.51,,,,Y,,,0.00,Y,90.00,54.000,5.000,
rin-powder-power-bright-1kg,CLE-RINX-POWD-1KG,Rin Powder Power Bright 1kg,Cleaning Supply,Laundry Soap 1kg,N,,,,,,,165.25,,,,Y,,,0.00,Y,190.00,30.000,5.000,
rin-power-white-200g,CLE-RINX-POWE-200G,Rin Power White 200g,Cleaning Supply,Laundry Soap 200g,N,,,,,,,36.67,,,,Y,,,0.00,Y,45.00,6.000,5.000,
rupchanda-chinigura-rice-1kg,RIC-RUPC-CHIN-1KG,Rupchanda Chinigura Rice 1KG,Rice & Grain,1KG Bag,N,,,,,,,148.00,,,,Y,,,0.00,Y,175.00,10.000,5.000,
rupchanda-soyabean-oil-1l,COO-RUPC-SOYA-1L,Rupchanda Soyabean Oil 1L,Cooking Needs,1L,N,,,,,,,189.00,,,,Y,,,0.00,Y,195.00,16.000,5.000,
rupchanda-soyabean-oil-2l,COO-RUPC-SOYA-2L,Rupchanda Soyabean Oil 2L,Cooking Needs,2L,N,,,,,,,384.00,,,,Y,,,0.00,Y,390.00,9.000,5.000,
rupchanda-soyabean-oil-5l,COO-RUPC-SOYA-5L,Rupchanda Soyabean Oil 5L,Cooking Needs,5L,N,,,,,,,940.00,,,,Y,,,0.00,Y,955.00,8.000,5.000,
salt,COO-SALT-PROD,Salt,Cooking Needs,50KG Bag,N,,,,,,,31.60,,,,Y,,,0.00,Y,40.00,50.000,5.000,
shewkaran-rice-50kg,RIC-SHEW-RICE-50KG,Shewkaran Rice 50KG,Rice & Grain,50KG Bag,N,,,,,,,53.50,,,,Y,,,0.00,Y,60.00,100.000,5.000,
slice-pound-cake-chocolate,BIS-SLIC-POUN-2,Slice Pound Cake Chocolate,Biscuits & Cookies,,N,,,,,,,29.00,,,,Y,,,0.00,Y,35.00,15.000,5.000,
slice-pound-cake-milk,BIS-SLIC-POUN-1,Slice Pound Cake Milk,Biscuits & Cookies,,N,,,,,,,4.00,,,,Y,,,0.00,Y,5.00,72.000,5.000,
slice-pound-cake-vanilla,BIS-SLIC-POUN,Slice Pound Cake Vanilla,Biscuits & Cookies,,N,,,,,,,25.00,,,,Y,,,0.00,Y,30.00,15.000,5.000,
solecti-cookies-standard-pack,BIS-SOLE-COOK,Solecti Cookies - Standard Pack,Biscuits & Cookies,Check the name,N,,,,,,,16.00,,,,Y,,,0.00,Y,20.00,24.000,5.000,
standard-horlicks-jar-1000g,BEV-STAN-HORL-1000G,Standard Horlicks Jar 1000g,Beverages,Powdered Drink 1000g,N,,,,,,,840.02,,,,Y,,,0.00,Y,960.00,6.000,5.000,
standard-horlicks-jar-18g,BEV-STAN-HORL-18G,Standard Horlicks Jar 18g,Beverages,Powdered Drink 18g,N,,,,,,,18.00,,,,Y,,,0.00,Y,20.00,36.000,5.000,
standard-horlicks-jar-250g,BEV-STAN-HORL-250G,Standard Horlicks Jar 250g,Beverages,Powdered Drink 250g,N,,,,,,,263.01,,,,Y,,,0.00,Y,300.00,6.000,5.000,
standard-horlicks-jar-500g,BEV-STAN-HORL-500G,Standard Horlicks Jar 500g,Beverages,Powdered Drink 500g,N,,,,,,,467.98,,,,Y,,,0.00,Y,540.00,6.000,5.000,
sugar,COO-SUGA-PROD,Sugar,Cooking Needs,50KG Bag,N,,,,,,,99.00,,,,Y,,,0.00,Y,104.00,50.000,5.000,
sunsilk-black-shine-170ml,PER-SUNS-BLAC-170ML,Sunsilk Black Shine 170ml,Personal Care,Shampoo 170ml,N,,,,,,,158.14,,,,Y,,,0.00,Y,185.00,3.000,5.000,
sunsilk-conditioner-hair-fall-solution-180ml,PER-SUNS-COND-180ML,Sunsilk Conditioner Hair Fall Solution 180ml,Personal Care,Shampoo 180ml,N,,,,,,,176.21,,,,Y,,,0.00,Y,200.00,3.000,5.000,
sunsilk-conditioner-hair-fall-solution-8ml,PER-SUNS-COND-8ML,Sunsilk Conditioner Hair Fall Solution 8ml,Personal Care,Conditioner 8ml,N,,,,,,,3.50,,,,Y,,,0.00,Y,5.00,36.000,5.000,
sunsilk-hairfall-solution-170ml,PER-SUNS-HAIR-170ML,Sunsilk Hairfall Solution 170ml,Personal Care,Shampoo 170ml,N,,,,,,,158.14,,,,Y,,,0.00,Y,185.00,3.000,5.000,
sunsilk-hairfall-solution-340ml,PER-SUNS-HAIR-340ML,Sunsilk Hairfall Solution 340ml,Personal Care,Shampoo 340ml,N,,,,,,,307.13,,,,Y,,,0.00,Y,355.00,2.000,5.000,
sunsilk-hijab-refresh-340ml,PER-SUNS-HIJA-340ML,Sunsilk Hijab Refresh 340ml,Personal Care,Shampoo 340ml,N,,,,,,,364.24,,,,Y,,,0.00,Y,420.00,2.000,5.000,
sunsilk-shampoo-black-shine-330ml,PER-SUNS-SHAM-330ML,Sunsilk Shampoo Black Shine 330ml,Personal Care,Shampoo 330ml,N,,,,,,,307.13,,,,Y,,,0.00,Y,355.00,2.000,5.000,
sunsilk-shampoo-black-shine-5-25ml,PER-SUNS-SHAM-5.25ML,Sunsilk Shampoo Black Shine 5.25ml,Personal Care,Shampoo 5.25ml,N,,,,,,,2.58,,,,Y,,,0.00,Y,4.00,72.000,5.000,
sunsilk-shampoo-black-shine-80ml,PER-SUNS-SHAM-80ML,Sunsilk Shampoo Black Shine 80ml,Personal Care,Shampoo 80ml,N,,,,,,,79.30,,,,Y,,,0.00,Y,95.00,3.000,5.000,
