Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
close-up-toothpaste-sea-salt-140g,PER-CLOS-UPXX-140G,Close Up Toothpaste Sea Salt 140g,Personal Care,Toothpaste 140g,N,,,,,,,149.25,,,,Y,,,0.00,Y,170.00,6.000,5.000,
dano-daily-pusti-100g,DAI-DANO-DAIL-100G,Dano Daily Pusti 100g,Dairy,,N,,,,,,,82.00,,,,Y,,,0.00,Y,100.00,6.000,5.000,
dano-daily-pusti-200g,DAI-DANO-DAIL-200G,Dano Daily Pusti 200g,Dairy,,N,,,,,,,150.00,,,,Y,,,0.00,Y,180.00,5.000,5.000,
dano-daily-pusti-500g,DAI-DANO-DAIL-500G,Dano Daily Pusti 500g,Dairy,,N,,,,,,,360.00,,,,Y,,,0.00,Y,400.00,4.000,5.000,
dano-daily-pusti-50g,DAI-DANO-DAIL-50G,Dano Daily Pusti 50g,Dairy,,N,,,,,,,40.00,,,,Y,,,0.00,Y,50.00,6.000,5.000,
dano-delight-200g,DAI-DANO-DELI-200G,Dano Delight 200g,Dairy,,N,,,,,,,185.00,,,,Y,,,0.00,Y,200.00,5.000,5.000,
dano-delight-500g,DAI-DANO-DELI-500G,Dano Delight 500g,Dairy,,N,,,,,,,451.00,,,,Y,,,0.00,Y,480.00,4.000,5.000,
dano-power-200g,DAI-DANO-POWE-200G,Dano Power 200g,Dairy,,N,,,,,,,190.00,,,,Y,,,0.00,Y,210.00,5.000,5.000,
dano-power-500g,DAI-DANO-POWE-500G,Dano Power 500g,Dairy,,N,,,,,,,447.00,,,,Y,,,0.00,Y,480.00,4.000,5.000,
detos-nacho-cheese-chips-30g,SNA-DETO-NACH-30G,Detos Nacho Cheese Chips 30g,Snacks,,N,,,,,,,16.13,,,,Y,,,0.00,Y,20.00,24.000,5.000,
detos-sweet-chilli-chips-30g,SNA-DETO-SWEE-30G,Detos Sweet Chilli Chips 30g,Snacks,,N,,,,,,,16.13,,,,Y,,,0.00,Y,20.00,24.000,5.000,
digestive-standard-pack,BIS-DIGE-STAN,Digestive -Standard Pack,Biscuits & Cookies,,N,,,,,,,25.00,,,,Y,,,0.00,Y,30.00,36.000,5.000,
diploma-ifcmp-1kg,DAI-DIPL-IFCM-1KG,Diploma IFCMP 1kg,Dairy,,N,,,,,,,893.00,,,,Y,,,0.00,Y,950.00,6.000,5.000,
diploma-ifcmp-200g,DAI-DIPL-IFCM-200G,Diploma IFCMP 200g,Dairy,,N,,,,,,,190.00,,,,Y,,,0.00,Y,205.00,6.000,5.000,
diploma-ifcmp-500g,DAI-DIPL-IFCM-500G,Diploma IFCMP 500g,Dairy,,N,,,,,,,449.00,,,,Y,,,0.00,Y,480.00,6.000,5.000,
domex-500ml,CLE-DOME-MLXX-500ML,Domex 500ml,Cleaning Supply,Dishwashing Liquid 500ml,N,,,,,,,113.00,,,,Y,,,0.00,Y,130.00,6.000,5.000,
domex-750ml,CLE-DOME-MLXX-750ML,Domex 750ml,Cleaning Supply,Dishwashing Liquid 750ml,N,,,,,,,149.84,,,,Y,,,0.00,Y,175.00,6.000,5.000,
doodles-instant-noodles-masala-62g-12-pack,SNA-DOOD-INST-62G-2,Doodles Instant Noodles Masala 62g (12 Pack),Snacks,Check physicall if given,N,,,,,,,146.00,,,,Y,,,0.00,Y,160.00,3.000,5.000,
doodles-instant-noodles-masala-62g-24-pack,SNA-DOOD-INST-62G-1,Doodles Instant Noodles Masala 62g (24 Pack),Snacks,,N,,,,,,,76.00,,,,Y,,,0.00,Y,100.00,3.000,5.000,
doodles-instant-noodles-masala-62g-8-pack,SNA-DOOD-INST-62G,Doodles Instant Noodles Masala 62g (8 Pack),Snacks,,N,,,,,,,223.00,,,,Y,,,0.00,Y,250.00,3.000,5.000,
doodles-instant-noodles-ramen-62g-4-pack,SNA-DOOD-INST-62G-3,Doodles Instant Noodles Ramen 62g (4 Pack),Snacks,,N,,,,,,,90.00,,,,Y,,,0.00,Y,110.00,12.000,5.000,
