Barcode,Name,Category,Cost,Price,Image URL
,Tengra Fresh Local Captured,Seafood & Fish,,575,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98dc115075f231ecdb29_Tengra-Deshi_1_415.webp
,Pabda Fresh Local Cultured (30-40 Pcs/kg),Seafood & Fish,,350,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98dc115075f231ecdb2d_Pabda-Medium_1_415.webp
,Deshi Mix Fresh Local Captured,Seafood & Fish,,335,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329855503b55855d83aa_Deshi-Mix_1_415.webp
,Pabda Fresh Local Cultured (18-25 Pcs/kg),Seafood & Fish,,395,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329b55503b55855d83c2_Pabda-Premium_1_415.webp
,Rui Fresh Local Cultured (2-2.99 kg),Seafood & Fish,,420,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668d1a306465c458a3e0fc41_Rui-Deshi-P_1_415.webp
,Carpu Fresh Local Cultured,Seafood & Fish,,250,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68cedfa25c124aea13e1c475_Carpu-Cultured-Medium-Premium_1_415.webp
,Faisha Fresh Local Captured (25-30 Pcs/kg),Seafood & Fish,,650,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6790ae1a976639d2572551a9_Faisha-Captured-P_1_415.webp
,Katla Fresh Local Cultured (2-2.999 kg),Seafood & Fish,,350,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668d1a326465c458a3e0fc72_Katla-Medium_1_415.webp
,Koral Fresh Local Captured (1.5-2.499 kg),Seafood & Fish,,850,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/660532a155503b55855d83f6_Koral-Medium_1_415.webp
,Koral Fresh Local Captured (500-899 kg),Seafood & Fish,,770,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/660532a155503b55855d83fa_Koral-Small_1_415.webp
,Mola Fresh Local Captured,Seafood & Fish,,330,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329555503b55855d8386_Mola-Captured-P_1_415.webp
,Pangas Fresh Local Cultured (1.5-1.999 kg),Seafood & Fish,,190,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668d1a326465c458a3e0fd94_Pangas-Cultured-Medium-Premium_1_415.webp
,Rupchanda (Promfret) Fresh Local Captured (3-4 Pcs/kg),Seafood & Fish,,1550,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6665248aa44f60e9a9a6314a_Rupchanda-Large_1_415.webp
,Silver Carp Fresh Local Cultured (Medium),Seafood & Fish,,195,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329655503b55855d8392_Silver-Carp-Cultured-Medium-P_1_415.webp
,Telapiya Fresh Local Cultured 400gm+,Seafood & Fish,,230,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329655503b55855d8396_Telapiya-Big_1_415.webp
,Beetroot,Vegetables,,180,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9756d61902ef2307bda4_Beet_1_415.webp
,Carrot China (China Gajor) Kg,Vegetables,,150,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9757d61902ef2307bec9_China-Carrot-China-Gajor_1_415.webp
,Shosha (Cucumber),Vegetables,,32.5,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668d1a2d6465c458a3e0fbfb_Shosha-Cucumber_1_415.webp
,Pudinapata (Mint Leaf),Vegetables,,300,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa976ed61902ef2307d2b1_Mint-Leaf-Pudinapata_1_415.webp
