Barcode,Name,Category,Cost,Price,Image URL
,"Zerocal Tablet 100Pcs","Cooking Needs","",120,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9626d61902ef23078cea_Zerocal-Tablet-100pcs_1_415.webp"
,"Fresh Refined Sugar 1kg","Cooking Needs","",105,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94db115075f231ec4fb1_Fresh-Refined-Sugar-1Kg_1_415.webp"
,"Teer Sugar 1kg","Cooking Needs","",110,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d5115075f231ec4f65_Teer-Sugar-1Kg_1_415.webp"
,"Sugar Loose Refined Kg","Cooking Needs","",6,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94ed115075f231ec5999_Sugar-Loose-Refined_1_415.webp"
,"Zerocal Sachet 25Pcs","Cooking Needs","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9626d61902ef23078cee_Zerocal-Sachet-25pcs_1_415.webp"
,"Saffola Active Oil 2Ltr.","Cooking Needs","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d36f2321da2357f5f04_Saffola-Active-Oil-2L_1_415.webp"
,"ACI Nutrilife Rice Bran Oil 2Ltr.","Cooking Needs","",435,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67d7c78963084aa5c2f0ec31_ACI-Nutrilife-Rice-Bran-Oil-2L_1_415.webp"
,"BPM Sesame Seed Oil 100ml","Cooking Needs","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d35f2321da2357f5ef1_BPM-Sesame-Seed-Oil-100ml_1_415.webp"
,"Shwapno Pink Salt 200gm (Jar)","Cooking Needs","",85,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b61e605f3fd35f16d7b_Shwapno-Pink-Salt-200gm-Jar_1_415.webp"
,"Shwapno Bit Salt 100gm","Cooking Needs","",41,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Haiko Himalayan Pink Salt 80gm","Cooking Needs","",60,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960f115075f231eccdbb_Haiko-Himalayan-Pink-Salt-80gm_1_415.webp"
,"ACI Pure Salt 1kg","Cooking Needs","",42,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5d6067663f5e6472f3b_ACI-Pure-Salt-1Kg_1_415.webp"
,"ACI Salt 100gm (Jar)","Cooking Needs","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66ab949fe1260acd01d5f02d_ACI-Salt-100gm-Jar_1_415.webp"
,"Fresh Super Premium Salt 1kg","Cooking Needs","",5,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94ea115075f231ec570c_Fresh-Super-Premium-Salt-1kg_1_415.webp"
,"Teer Salt 1kg","Cooking Needs","",5,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d4115075f231ec4f61_Teer-Salt-1Kg-Pack_1_415.webp"
,"Borges Sunflower Oil 5Ltr.","Cooking Needs","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6681352af077212bd74ef3db_Borges-Sunflower-Oil-5-Liter_1_415.webp"
,"ACI Pure Mung Dal 1kg","Cooking Needs","",210,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94f4115075f231ec5f6d_ACI-Pure-Mung-Dal-1kg_1_415.webp"
,"ACI Pure Moshur Dal 1kg","Cooking Needs","",185,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94e7115075f231ec5570_ACI-Pure-Moshur-Dal-1kg_1_415.webp"
,"BPM Chola 1kg","Cooking Needs","",150,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66652450a44f60e9a9a63016_BPM-Chola-1-Kg_1_415.webp"
,"Shwapno Mixed Dal 1kg","Cooking Needs","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84ae673683244576a8fc_Shwapno-Mixed-Dal-1kg_1_415.webp"
,"Shwapno Boot Dal 1kg","Cooking Needs","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/676d9604831337d53b97f588_Shwapno-Boot-Dal-1kg_1_415.webp"
,"Shwapno Mashkalai Dal 500g","Cooking Needs","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a0ac3a11aefc405bbcf8_Shwapno-Mashkalai-Dal-500g_1_415.webp"
,"Shwapno Anchor Dal 1kg","Cooking Needs","",5,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6661452f245cbc991379360a_Shwapno-Premium-Anchor-Dal-1kg_1_415.webp"
,"Shwapno Dabli Dal 1kg","Cooking Needs","",5,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84b1673683244576a908_Shwapno-Premium-Dabli-Dal-1kg_1_415.webp"
,"Pusti Deshi Red Lentils 1kg","Cooking Needs","",8,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94f9115075f231ec6275_Pusti-Deshi-Red-Lentils-1kg_1_415.webp"
,"Mehran Kernel Basmati Rice 2kg","Cooking Needs","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d6115075f231ec4f75_Mehran-Kernal-Gold-Basmoti-Rice-2Kg_1_415.webp"
,"Mehran Kernel Basmati Rice 1kg","Cooking Needs","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94e8115075f231ec5650_Mehran-Bashmati-Rice-1kg_1_415.webp"
,"ACI Pure Banglamati Rice 5kg","Cooking Needs","",560,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66f128a12d5c3eb1334bfdac_ACI-Pure-Banglamati-Rice-5kg_1_415.webp"
